system:index,Acrisols,Albeluvisols,Alisols,Amazonas_Solimoes,Amazonia,Amazonia_1,Andosols,Area_Estavel,Arenosols,Borborema,Caatinga,Calcisols,Cambisols,Campinarana,Cerrado,Chernozems,Cobertura_Cenozoica,Contato_Ecotono_e_Encrave,Corpo_dagua_continental,Costeira_Margem_Continental,Cryosols,Durisols,Estepe,Ferralsols,Ferralsols_1,Floresta_Estacional_Decidual,Floresta_Estacional_Semidecidual,Floresta_Estacional_Sempre_Verde,Floresta_Ombrofila_Aberta,Floresta_Ombrofila_Densa,Floresta_Ombrofila_Mista,Fluvisols,Formacao_Pioneira,Gleysols,Gurupi,Gypsisols,Histosols,Histosols_1,Humisols,ID,Kastanozems,Leptosols,Lixisols,Luvisols,Mantiqueira,Massa_d_agua,Mata_Atlantica,Nitisols,Pampa,Pantanal,Parana,Parecis,Parnaiba,Phaeozems,Planosols,Plinthosols,Podzols,Reconcavo_Tucano_Jatoba,Regosols,Sandysols,Sao_Francisco,Sao_Luis,Savana,Savana_Estepica,Solonchaks,Solonetz,Stagnosols,Thinsols,Tocantis,Umbrisols,Vertisols,Wetsols,bdod,black_soil_prob,cagb,cbgb,cdw,cec,cfvo,clay,clayminerals,clitter,convergence,cti,ctotal,eastness,elevation,latitude,ln_clay_sand,ln_silt_sand,longitude,lv1_Dry_season,lv1_Humid_subtropical_zone,lv1_Tropical,lv2_monsoon,lv2_oceanic_climate_without_sry_season,lv2_semiarid,lv2_with_dry_summer,lv2_with_dry_winter,lv2_with_dry_winter_1,lv2_without_dry_season,lv3_and_hot,lv3_and_hot_summer,lv3_and_short_and_cool_summer,lv3_and_temperate,lv3_and_temperate_summer,lv3_low_latitude_and_altitude,lv3_with_hot_summer,lv3_with_temperate_summer,nitrogen,northness,oxides,pcurv,phh2o,roughness,sand,silt,slope,soc,spi,.geo
000000000000000002de_0,5,0,0,0,0,0,0,0,1,0,0,0,3,0,0,2,0,0,0,1,0,0,0,5,5,0,0,0,0,0,0,2,1,8,0,0,2,2,5,735,0,2,3,4,0,0,0,2,1,0,0,0,0,3,44,3,0,0,1,1,0,0,0,0,0,4,0,3,0,0,2,52,119,4.0,1.04,10.15,0.0,209,58,181,57,1.59,-29,10,12.77,0,9,25066,-1.953856154077793,-2.329829179786257,15733,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,23,0,170,0,53,0,733,83,0,331,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-50.53333391945329,-30.066567643716184]}"
000000000000000002df_0,22,0,0,0,0,0,1,0,4,0,0,0,4,0,0,1,0,0,0,1,0,0,0,3,3,0,0,0,0,0,0,1,1,7,0,0,1,1,4,736,0,3,7,7,0,0,0,4,1,0,0,0,0,3,13,6,2,0,1,6,0,0,0,0,0,3,0,4,0,0,2,20,113,5.0,1.04,10.15,0.0,170,51,146,53,1.59,-6,-5,12.77,1,8,25230,-2.38580848564172,-2.856085630635278,15683,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,22,0,170,-2,50,4,757,95,1,367,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-50.48347742118466,-30.23042035153958]}"
000000000000000002e0_0,14,0,0,0,0,0,0,0,4,0,0,0,4,0,0,2,0,0,0,1,0,0,0,3,3,0,0,0,0,0,0,3,1,12,0,0,2,2,5,737,0,2,5,10,0,0,0,3,1,0,0,0,0,3,18,7,3,0,0,7,0,0,0,0,0,1,0,2,0,0,3,30,112,5.0,1.04,10.15,0.0,187,60,195,48,1.59,29,47,12.77,0,12,25149,-2.419659799687934,-3.801882186274736,15603,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,24,0,161,0,51,1,655,148,0,365,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-50.40316803478437,-30.149032986798353]}"
000000000000000002e1_0,13,0,2,0,0,0,1,1,0,0,0,0,6,0,0,2,0,0,0,1,0,0,0,7,7,0,0,0,0,0,0,1,1,9,0,0,0,0,3,738,0,5,4,3,0,0,0,11,1,0,0,0,0,1,5,22,3,0,0,3,0,0,0,0,0,1,0,5,0,0,3,14,111,5.0,1.04,10.15,0.0,184,79,185,35,1.59,-55,-18,12.77,-5,42,25033,-2.968075455071245,-3.84169565244441,15566,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,23,-2,144,3,48,16,715,98,6,291,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-50.366786265777534,-30.033419809732173]}"
000000000000000002e2_0,6,0,3,0,0,0,0,0,2,0,0,0,0,0,0,3,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,2,0,0,0,0,26,739,1,2,3,7,0,0,0,2,1,0,1,0,0,22,30,0,0,0,1,2,0,0,0,0,0,2,0,3,0,0,9,32,140,19.0,0.73,0.77,0.0,221,46,285,52,3.63,2,84,5.13,0,138,26075,-0.973982207903194,0.111173488611328,19816,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,18,0,162,0,55,2,330,382,0,224,35,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-54.61671587494699,-31.075285876253993]}"
000000000000000002e3_0,6,0,4,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,1,3,3,0,0,0,0,0,0,1,0,2,0,0,0,0,10,740,0,1,2,6,0,0,0,2,1,0,1,0,0,6,45,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,16,47,139,24.0,1.03,4.74,0.0,231,71,326,53,3.63,-3,-8,9.4,-3,159,26478,-0.479805622664452,0.077213556866413,19638,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,21,2,184,0,57,11,259,412,4,235,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-54.43857995410609,-31.478180281181594]}"
000000000000000002e4_0,6,0,2,0,0,0,0,1,0,0,0,0,2,0,0,13,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,33,741,0,1,4,35,0,0,0,3,1,0,1,0,0,20,5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,5,132,23.0,0.73,0.77,0.0,196,94,283,49,3.63,24,25,5.13,-1,265,26183,-0.050619120504037,1.032819381181373,19533,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,18,1,188,0,56,4,197,517,1,223,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-54.33320757127886,-31.183353204933567]}"
000000000000000002e5_0,14,0,2,0,0,0,0,1,0,0,0,0,2,0,0,5,0,0,0,0,0,0,1,3,3,0,0,0,0,0,0,0,0,0,0,0,1,1,11,742,0,11,4,36,1,0,0,6,1,0,0,0,0,6,4,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,3,4,132,36.0,0.73,0.77,0.0,196,86,300,48,3.63,14,-2,5.13,-2,352,26083,-1.227353201265188,-1.067005602860336,19400,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,20,2,181,0,54,9,466,231,3,221,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-54.200077246172356,-31.083370713811064]}"
000000000000000002e6_0,54,0,3,0,0,0,0,0,0,0,0,0,2,0,0,3,0,0,0,0,0,0,1,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,9,743,0,5,1,7,1,0,0,6,1,0,0,0,0,6,6,0,0,0,1,0,0,0,0,0,0,0,0,6,0,0,2,6,123,13.0,37.74,10.58,5.12,192,91,247,45,2.07,-31,-14,55.41,2,279,26283,-0.777346898560534,-0.80609860897149,19266,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,18,-3,194,0,53,11,495,255,4,236,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-54.06667742648061,-31.28333569605607]}"
000000000000000002e7_0,4,0,2,0,0,0,1,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,68,744,0,2,2,2,0,0,0,3,1,0,1,0,0,46,7,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,7,7,139,35.0,37.74,10.58,5.12,224,49,296,49,2.07,31,40,55.41,0,161,26500,1.525092649215544,2.206244473390916,19166,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,22,0,168,0,56,3,94,607,1,248,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-53.966694935358106,-31.5000093425857]}"
000000000000000002e8_0,16,0,1,0,0,0,0,0,1,0,0,0,1,0,0,13,0,0,0,0,0,0,1,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,34,745,0,4,3,17,1,0,0,4,1,0,0,0,0,21,8,0,0,0,0,1,0,0,0,0,0,0,0,4,0,0,5,8,134,20.0,0.73,0.77,0.0,172,44,284,43,3.63,-23,-19,5.13,-4,331,26143,-0.135697955281432,-0.469675604242729,19005,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,19,0,174,1,54,12,479,235,5,225,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-53.80580666797229,-31.14319851173343]}"
000000000000000002e9_0,60,0,0,0,0,0,1,1,1,0,0,0,5,0,0,0,0,0,0,0,0,0,1,2,2,0,0,0,0,0,0,1,0,0,0,0,0,0,5,746,0,5,7,8,1,0,0,3,1,0,0,0,0,5,2,0,0,0,0,1,0,0,0,0,0,0,0,5,0,0,0,2,120,9.0,37.74,10.58,5.12,162,86,226,31,2.07,24,-1,55.41,4,187,26783,-1.832403315436237,-1.176394062168883,18366,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,17,-6,151,-1,51,24,525,246,8,274,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-53.16656551179284,-31.783248151668587]}"
000000000000000002ea_0,48,0,0,0,0,0,0,1,0,0,0,0,3,0,0,4,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,10,747,0,3,13,8,1,0,0,6,1,0,0,0,0,6,4,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,4,114,7.0,1.03,4.74,0.0,170,96,216,42,3.63,-6,14,9.4,5,136,26083,-1.427188948286543,-0.515495469469575,18366,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,17,-4,172,-2,52,20,457,325,6,236,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-53.16656551179284,-31.083370713811064]}"
000000000000000002eb_0,65,0,0,0,0,0,1,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,1,4,4,0,0,0,0,0,0,0,0,0,0,0,1,1,5,748,0,6,4,5,1,0,0,4,1,0,0,0,0,3,3,0,0,0,1,0,0,0,0,0,0,0,0,7,0,0,0,3,117,16.0,37.74,10.58,5.12,170,124,240,39,2.07,-1,-23,55.41,-7,406,26316,-0.830576417721186,-0.984266986602468,18166,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,18,2,176,2,53,19,533,225,8,252,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-52.96660052954784,-31.31675302462532]}"
000000000000000002ee_0,13,0,1,0,0,0,0,0,1,0,0,0,5,0,0,1,0,0,0,0,0,0,0,6,6,0,1,0,0,0,0,0,0,1,0,0,0,0,4,751,0,5,45,7,1,0,0,5,1,0,0,0,0,3,2,1,0,0,0,1,0,0,0,0,0,0,0,5,0,0,0,3,110,9.0,78.82,18.92,8.48,150,140,228,38,3.07,-13,-30,109.29,3,181,26333,-1.189488666340246,-0.942010383237705,17549,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,21,14,176,4,55,38,537,232,15,296,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-52.3499969185282,-31.333192194324702]}"
000000000000000002ef_0,5,0,3,0,0,0,0,0,2,0,0,0,0,0,0,2,0,1,0,1,0,0,0,3,3,0,0,0,0,0,0,1,0,3,0,0,1,1,9,752,0,0,3,8,0,0,0,1,1,0,0,0,0,7,47,2,0,0,0,2,0,0,0,0,0,7,0,0,0,0,3,50,123,5.0,1.04,10.15,0.0,212,31,281,55,1.59,44,0,12.77,0,16,26689,-0.816820502599838,0.051223931267375,17457,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,24,0,165,0,53,1,445,272,0,297,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-52.25782977037754,-31.689733530591745]}"
000000000000000002f0_0,15,0,1,0,0,0,0,1,1,0,0,0,2,0,0,3,0,0,0,0,0,0,0,2,2,0,1,0,0,0,0,0,0,1,0,0,0,0,6,753,0,3,50,7,1,0,0,4,1,0,0,0,0,3,6,1,0,0,0,1,0,0,0,0,0,0,0,3,0,0,0,7,121,7.0,78.82,18.92,8.48,163,72,243,43,3.07,7,-9,109.29,6,58,26066,-1.599177580266972,-1.401407756513147,17366,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,18,-3,178,-4,52,19,539,216,7,209,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-52.16674060056782,-31.066662049526443]}"
000000000000000002f1_0,1,0,0,0,0,0,0,0,2,0,0,0,2,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,3,1,6,0,0,4,4,7,754,0,0,2,46,0,0,0,1,1,0,0,0,0,6,10,1,1,0,0,3,0,0,0,0,0,7,0,0,0,0,2,16,109,4.0,1.04,10.15,0.0,213,53,284,56,1.59,-38,-3,12.77,0,3,27133,-0.928682627096654,-0.712408989796864,17766,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,28,0,145,0,54,0,462,252,0,447,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-52.56667056505783,-32.13332161788996]}"
000000000000000002f2_0,14,0,1,0,0,0,1,0,1,0,0,0,0,0,0,5,0,0,0,0,0,0,1,2,2,0,0,0,0,0,0,0,0,1,0,0,1,1,16,755,0,3,7,43,1,0,0,1,1,0,0,0,0,11,6,0,1,0,0,2,0,0,0,0,0,1,0,3,0,0,1,7,128,6.0,0.73,0.77,0.0,204,68,302,47,3.63,30,-5,5.13,-9,71,27016,-0.166599966779336,-0.826576610400796,18100,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,16,2,169,-4,54,25,455,240,10,211,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-52.90003536699459,-32.01663046248284]}"
000000000000000002f3_0,2,0,1,0,0,0,1,0,6,0,0,0,2,0,0,0,0,1,0,1,0,0,0,2,2,0,0,0,0,0,0,1,0,4,0,0,2,2,14,756,0,2,0,5,0,0,0,1,1,0,0,0,0,14,41,1,1,0,0,7,0,0,0,0,2,8,0,2,0,0,1,45,129,5.0,37.74,10.58,5.12,188,36,273,56,2.07,-35,-4,55.51,0,5,27864,-2.274486513633091,-1.596419774648784,17865,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,21,0,162,0,59,1,387,337,0,417,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-52.66584457242462,-32.86472992222008]}"
