system:index,Amazonia,Area_Estavel,Caatinga,Campinarana,Cerrado,Contato_Ecotono_e_Encrave,Corpo_dagua_continental,Estepe,Ferralsols,Floresta_Estacional_Decidual,Floresta_Estacional_Semidecidual,Floresta_Estacional_Sempre_Verde,Floresta_Ombrofila_Aberta,Floresta_Ombrofila_Densa,Floresta_Ombrofila_Mista,Formacao_Pioneira,Histosols,Humisols,ID,Mata_Atlantica,Pampa,Pantanal,Sandysols,Savana,Savana_Estepica,Thinsols,Wetsols,bdod,black_soil_prob,cagb,cbgb,cdw,cec,cfvo,clay,clayminerals,clitter,convergence,cti,ctotal,eastness,elevation,latitude,ln_clay_sand,ln_silt_sand,longitude,lv1_Dry_season,lv1_Humid_subtropical_zone,lv1_Tropical,lv2_monsoon,lv2_oceanic_climate_without_sry_season,lv2_semiarid,lv2_with_dry_summer,lv2_with_dry_winter,lv2_with_dry_winter_1,lv2_without_dry_season,lv3_and_hot,lv3_and_hot_summer,lv3_and_short_and_cool_summer,lv3_and_temperate,lv3_and_temperate_summer,lv3_low_latitude_and_altitude,lv3_with_hot_summer,lv3_with_temperate_summer,nitrogen,northness,oxides,pcurv,phh2o,prediction_clay_0_30cm,prediction_sand_0_30cm,prediction_silt_0_30cm,roughness,sand,silt,slope,soc,spi,.geo
000000000000000002d9,1,0,0,0,0,0,1,0,13,0,0,0,0,0,0,0,1,0,1080,0,0,0,3,0,0,1,13,118,4.0,0.0,0.0,0.0,107,18,262,65,0.0,-10,12,0.0,0,37,1804,5.067774609968585,5.661080200029232,27801,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,157,-2,41,46.04920869342649,8.327626294067535,45.623165012505964,4,178,558,0,192,0,"{""type"":""Point"",""coordinates"":[-62.601841404149944,-6.804066492735157]}"
000000000000000002dc,1,1,0,0,0,0,0,0,7,0,0,0,0,1,0,0,4,0,1083,0,0,0,2,0,0,1,13,112,7.0,0.0,0.0,0.0,114,64,354,27,0.0,0,-8,0.0,0,34,878,2.218674097283754,2.842641349896619,26590,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,1,114,3,40,49.916903679012265,10.729401990614102,39.35369433037363,5,281,362,1,399,0,"{""type"":""Point"",""coordinates"":[-61.390731721629834,-5.878352654938739]}"
000000000000000000ff,0,1,0,0,1,1,0,0,42,0,0,0,0,0,0,0,0,0,1057,0,0,0,18,0,0,1,3,133,4.0,43.49,15.42,4.26,61,28,231,61,5.33,-3,-4,68.5,3,545,13585,-2.34097222385626,-4.169407325580763,16321,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,10,0,216,0,54,16.070378823690437,79.77948223939082,4.150138936918757,8,671,95,3,128,0,"{""type"":""Point"",""coordinates"":[-51.12164049149558,-18.58555994536874]}"
000000000000000005a1,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,8,1278,1,0,0,0,0,0,20,6,136,8.0,43.49,15.42,4.26,161,96,235,53,5.33,-20,-14,68.5,0,178,5350,-1.382878441959711,-1.39588443469535,2366,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,11,2,163,3,59,17.010369331527727,62.495939756157526,20.49369091231475,8,571,191,3,154,0,"{""type"":""Point"",""coordinates"":[-37.1666741669872,-10.350072964365872]}"
000000000000000005a7,0,0,0,0,0,1,0,0,9,0,0,0,0,0,0,0,0,6,1284,1,0,0,1,0,0,14,9,135,23.0,43.49,15.42,4.26,168,88,249,53,5.33,28,-8,68.5,0,200,5383,-1.306909586832435,-0.946598876204815,2383,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,11,2,166,0,57,18.382211430541524,60.77921463229512,20.838573937163357,9,576,172,2,150,0,"{""type"":""Point"",""coordinates"":[-37.18338241863446,-10.383221921597189]}"
000000000000000005a8,0,0,0,0,0,1,0,0,5,0,0,0,0,0,0,0,0,6,1285,1,0,0,2,0,0,13,13,135,14.0,43.49,15.42,4.26,152,93,232,58,5.33,26,-6,68.5,0,207,5383,-1.625040734226412,-1.473275769626373,2400,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,12,3,175,-5,56,18.167262058709152,61.950071612269355,19.8826663290215,9,586,179,3,143,0,"{""type"":""Point"",""coordinates"":[-37.20009067028171,-10.383221921597189]}"
00000000000000000269,1,0,0,0,0,0,0,0,39,0,0,0,0,0,0,0,1,1,198,0,0,0,2,1,0,0,9,117,47.0,26.32,87.9088,0.779072,156,63,255,31,1.849568,-14,3,116.85744,0,9,-3116,-1.564203222553004,-2.404541431157734,20283,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,130,0,45,26.81919988048005,50.30865454103167,22.872145578488283,1,502,240,0,207,0,"{""type"":""Point"",""coordinates"":[-55.08321288580218,-1.8833637573376152]}"
00000000000000000231,1,1,0,0,0,1,0,0,13,0,0,0,0,0,0,0,3,0,15,0,0,0,7,0,0,2,8,122,4.0,77.08,7.708,6.24348,108,96,282,27,4.45096,-4,-16,95.48244,-3,119,-7499,-3.285354246975419,-2.690964991346442,27000,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,1,123,1,47,11.812966298510496,77.08658227337885,11.100451428110663,18,477,239,4,123,0,"{""type"":""Point"",""coordinates"":[-61.800095034740366,2.499968251008111]}"
00000000000000000232,1,1,0,0,0,1,0,0,13,0,0,0,0,0,0,0,3,0,21,0,0,0,4,0,0,2,6,122,4.0,77.08,7.708,6.24348,103,101,285,27,4.45096,-4,-18,95.48244,-2,103,-7533,-1.739832956539664,-2.55904657425268,26916,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,-7,124,2,47,14.109425418121926,75.43039619185299,10.46017839002509,20,518,194,7,129,0,"{""type"":""Point"",""coordinates"":[-61.71654931740301,2.5333847543026344]}"
000000000000000001d3,1,1,0,0,0,0,0,0,5,0,0,0,0,1,0,0,2,0,1570,0,0,0,3,0,0,0,4,118,4.0,127.84,39.6304,12.01696,121,29,342,29,5.12992,-44,0,184.61728,0,75,-1116,-0.211810718328676,0.18037571304387,30433,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,14,0,125,0,40,23.864960068227763,43.76615847797609,32.368881453796135,1,225,430,0,237,0,"{""type"":""Point"",""coordinates"":[-65.23345569555893,-3.883283957111251]}"
