id,coord_x,coord_y,depth,clay,silt,sand
ctb0003-sm-dnos-001,-53.794645,-29.651271,10,4,5,91
ctb0003-sm-dnos-002,-53.793987,-29.650564,10,10,16,74
ctb0003-sm-dnos-003,-53.793993,-29.650232,10,10,15,75
ctb0003-sm-dnos-004,-53.794345,-29.650311,10,8,10,82
ctb0003-sm-dnos-005,-53.792947,-29.650838,10,10,22,68
ctb0003-sm-dnos-006,-53.793499,-29.649951,10,16,29,55
ctb0003-sm-dnos-007,-53.793272,-29.649962,10,17,34,49
ctb0003-sm-dnos-008,-53.793633,-29.648468,10,10,11,79
ctb0003-sm-dnos-009,-53.793707,-29.647836,10,7,7,86
ctb0003-sm-dnos-010,-53.793019,-29.64797,10,9,12,79
ctb0003-sm-dnos-011,-53.792816,-29.64804,10,7,10,83
ctb0003-sm-dnos-012,-53.79206,-29.64927,10,11,26,63
ctb0003-sm-dnos-013,-53.79184,-29.648724,10,8,19,73
ctb0003-sm-dnos-014,-53.792442,-29.648539,10,12,16,72
ctb0003-sm-dnos-015,-53.792655,-29.648548,10,14,14,72
ctb0003-sm-dnos-016,-53.792509,-29.647109,10,11,11,78
ctb0003-sm-dnos-017,-53.79256,-29.646736,10,9,15,76
ctb0003-sm-dnos-018,-53.792256,-29.646199,10,4,4,92
ctb0003-sm-dnos-019,-53.792114,-29.645725,10,8,9,83
ctb0003-sm-dnos-020,-53.791419,-29.646682,10,8,10,82
ctb0003-sm-dnos-021,-53.793887,-29.652717,10,10,33,57
ctb0003-sm-dnos-022,-53.790043,-29.648311,10,8,12,80
ctb0003-sm-dnos-023,-53.78955,-29.648663,10,7,9,84
ctb0003-sm-dnos-024,-53.788403,-29.649114,10,4,5,91
ctb0003-sm-dnos-025,-53.786795,-29.650051,10,5,5,90
ctb0003-sm-dnos-026,-53.786729,-29.650198,10,6,6,88
ctb0003-sm-dnos-027,-53.786439,-29.647667,10,12,24,64
ctb0003-sm-dnos-028,-53.786838,-29.647463,10,5,5,90
ctb0003-sm-dnos-029,-53.785726,-29.646196,10,4,6,90
ctb0003-sm-dnos-030,-53.782776,-29.642239,10,6,6,88
ctb0003-sm-dnos-031,-53.782604,-29.641715,10,8,8,84
ctb0003-sm-dnos-032,-53.78358,-29.643612,10,8,7,85
ctb0003-sm-dnos-033,-53.783181,-29.644809,10,12,10,78
ctb0003-sm-dnos-034,-53.786181,-29.645831,10,8,6,86
ctb0003-sm-dnos-035,-53.79162,-29.65165,10,11,17,72
ctb0003-sm-dnos-036,-53.790323,-29.650243,10,12,10,78
ctb0003-sm-dnos-037,-53.789106,-29.649981,10,6,7,87
ctb0003-sm-dnos-038,-53.788766,-29.650904,10,7,8,85
ctb0003-sm-dnos-039,-53.788001,-29.651884,10,3,4,93
ctb0003-sm-dnos-040,-53.78967,-29.652096,10,12,16,72
ctb0003-sm-dnos-041,-53.790849,-29.6533,10,8,22,70
ctb0003-sm-dnos-042,-53.788561,-29.654778,10,9,20,71
ctb0003-sm-dnos-043,-53.788313,-29.654537,10,10,17,73
ctb0003-sm-dnos-044,-53.790373,-29.654251,10,7,9,84
ctb0003-sm-dnos-045,-53.796479,-29.653913,10,23,30,47
ctb0003-sm-dnos-046,-53.795904,-29.653944,10,22,24,54
ctb0003-sm-dnos-047,-53.797283,-29.654583,10,24,28,48
ctb0003-sm-dnos-048,-53.799054,-29.654445,10,11,22,67
ctb0003-sm-dnos-049,-53.799533,-29.653968,10,16,15,69
ctb0003-sm-dnos-050,-53.799876,-29.653101,10,16,27,57
ctb0003-sm-dnos-051,-53.798608,-29.653072,10,9,17,74
ctb0003-sm-dnos-052,-53.797866,-29.653518,10,12,24,64
ctb0003-sm-dnos-053,-53.795823,-29.653543,10,16,18,66
ctb0003-sm-dnos-054,-53.794759,-29.65719,10,9,21,70
ctb0003-sm-dnos-055,-53.798576,-29.655777,10,8,15,77
ctb0003-sm-dnos-056,-53.800101,-29.656367,10,9,19,72
ctb0003-sm-dnos-057,-53.802126,-29.656873,10,10,13,77
ctb0003-sm-dnos-058,-53.801405,-29.657328,10,8,14,78
ctb0003-sm-dnos-059,-53.795093,-29.656811,10,5,12,83
ctb0003-sm-dnos-060,-53.79213,-29.655161,10,11,19,70
ctb0003-sm-dnos-061,-53.793303,-29.655905,10,6,16,78
ctb0003-sm-dnos-062,-53.799539,-29.652645,10,15,24,61
ctb0003-sm-dnos-063,-53.807537,-29.652779,10,8,8,84
ctb0003-sm-dnos-064,-53.806834,-29.652269,10,7,8,85
ctb0003-sm-dnos-065,-53.806154,-29.651724,10,5,8,87
ctb0003-sm-dnos-066,-53.808047,-29.651232,10,4,6,90
ctb0003-sm-dnos-067,-53.810477,-29.650894,10,5,5,90
ctb0003-sm-dnos-068,-53.810061,-29.650623,10,4,4,92
ctb0003-sm-dnos-069,-53.804721,-29.651086,10,9,18,73
ctb0003-sm-dnos-070,-53.803219,-29.651684,10,11,20,69
ctb0003-sm-dnos-071,-53.804261,-29.652893,10,11,11,78
ctb0003-sm-dnos-072,-53.802675,-29.652871,10,12,15,73
ctb0003-sm-dnos-073,-53.803316,-29.653768,7.5,22,18,60
ctb0003-sm-dnos-074,-53.802057,-29.65548,10,4,6,90
ctb0003-sm-dnos-075,-53.801966,-29.654216,10,8,12,80
ctb0003-sm-dnos-076,-53.801884,-29.651857,10,11,13,76
ctb0003-sm-dnos-077,-53.801571,-29.649229,10,13,13,74
ctb0003-sm-dnos-078,-53.800074,-29.648679,10,18,22,60
ctb0003-sm-dnos-079,-53.798709,-29.649183,10,18,18,64
ctb0003-sm-dnos-080,-53.79658,-29.647794,10,13,29,58
ctb0003-sm-dnos-081,-53.798624,-29.647548,10,15,25,60
ctb0003-sm-dnos-082,-53.800643,-29.646427,10,7,20,73
ctb0003-sm-dnos-083,-53.801826,-29.646066,10,12,24,64
ctb0003-sm-dnos-084,-53.802176,-29.648401,10,12,17,71
ctb0003-sm-dnos-085,-53.800361,-29.651218,10,15,13,72
ctb0003-sm-dnos-086,-53.79877,-29.651636,10,23,25,52
ctb0003-sm-dnos-087,-53.797196,-29.650298,10,15,31,54
ctb0003-sm-dnos-088,-53.796987,-29.649121,10,9,18,73
ctb0003-sm-dnos-089,-53.794885,-29.649711,10,12,20,68
ctb0003-sm-dnos-090,-53.795826,-29.650713,10,15,14,71
ctb0003-sm-dnos-091,-53.796188,-29.652779,10,15,23,62
